,IncidentFromDate,PRCP,OffenseCode,Offense Description,CaseStatus,LocationLandmark
93,2015,0.18,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
94,2015,0.18,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
95,2015,0.64,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
96,2015,0.64,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
97,2015,0.64,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
98,2015,0.64,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
99,2015,0.64,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
100,2015,0.64,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
101,2015,0.64,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
102,2015,0.64,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
103,2015,0.64,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
104,2015,0.64,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
105,2015,0.64,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
106,2015,0.64,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
107,2015,0.64,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
108,2015,0.67,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
109,2015,0.67,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
110,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
111,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
112,2015,0.67,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
113,2015,0.67,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
114,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
115,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
116,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
117,2015,0.67,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
118,2015,0.67,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
119,2015,0.67,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
120,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
121,2015,0.58,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
122,2015,0.58,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
123,2015,0.58,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
124,2015,0.58,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
125,2015,0.58,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
126,2015,0.58,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
127,2015,0.58,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
128,2015,0.58,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
129,2015,0.58,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
130,2015,0.58,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
131,2015,0.58,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
132,2015,0.58,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
133,2015,0.58,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
134,2015,0.81,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
135,2015,0.81,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
136,2015,0.81,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
137,2015,0.81,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
138,2015,0.81,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
139,2015,0.81,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
140,2015,0.81,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
141,2015,0.81,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
142,2015,0.81,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
143,2015,0.81,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
144,2015,0.81,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
145,2015,0.81,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
146,2015,0.81,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
147,2015,0.6,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
148,2015,0.6,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
149,2015,0.6,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
150,2015,0.6,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
151,2015,0.6,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
152,2015,0.6,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
153,2015,0.6,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
154,2015,0.6,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
155,2015,0.6,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
156,2015,0.6,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
157,2015,0.6,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
158,2015,0.6,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
159,2015,0.6,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
160,2015,0.36,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
161,2015,0.36,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
162,2015,0.36,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
163,2015,0.36,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
164,2015,0.36,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
165,2015,0.4,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
166,2015,0.4,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
167,2015,0.4,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
168,2015,0.4,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
169,2015,0.4,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
170,2015,0.43,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
171,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
172,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
173,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
174,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
175,2015,0.19,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
176,2015,0.19,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
177,2015,0.19,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
178,2015,0.19,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
179,2015,0.19,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
180,2015,0.17,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
181,2015,0.17,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
182,2015,0.17,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
183,2015,0.17,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
184,2015,0.17,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
185,2015,0.34,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
186,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
187,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
188,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
189,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
190,2015,0.43,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
191,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
192,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
193,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
194,2015,0.43,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
195,2015,0.34,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
196,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
197,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
198,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
199,2015,0.34,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
200,2015,0.25,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
201,2015,0.25,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
202,2015,0.25,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
203,2015,0.25,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
204,2015,0.25,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
205,2015,0.39,9999,Non-Crime (not reported to state),Inactive,North Avenue Apartments
206,2015,0.39,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
207,2015,0.39,9999,Non-Crime (not reported to state),Closed/Cleared,Folk Residence Hall
208,2015,0.39,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
209,2015,0.39,9999,Non-Crime (not reported to state),Closed/Cleared,North Avenue Apartments
210,2015,0.1,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
211,2015,0.1,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
212,2015,0.1,9999,Non-Crime (not reported to state),Inactive,BP Station
213,2015,0.1,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
214,2015,0.1,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
215,2015,0.1,5499,Traffic Offense (describe offense),Closed/Cleared,
216,2015,0.1,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
217,2015,0.1,9999,Non-Crime (not reported to state),Closed/Cleared,Library
218,2015,0.1,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
219,2015,0.1,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
220,2015,0.1,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
221,2015,0.1,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
222,2015,0.1,9999,Non-Crime (not reported to state),Inactive,Student Center
223,2015,0.1,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
224,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
225,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
226,2015,0.13,9999,Non-Crime (not reported to state),Inactive,BP Station
227,2015,0.13,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
228,2015,0.13,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
229,2015,0.13,5499,Traffic Offense (describe offense),Closed/Cleared,
230,2015,0.13,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
231,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Library
232,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
233,2015,0.13,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
234,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
235,2015,0.13,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
236,2015,0.13,9999,Non-Crime (not reported to state),Inactive,Student Center
237,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
238,2015,0.22,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
239,2015,0.22,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
240,2015,0.22,9999,Non-Crime (not reported to state),Inactive,BP Station
241,2015,0.22,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
242,2015,0.22,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
243,2015,0.22,5499,Traffic Offense (describe offense),Closed/Cleared,
244,2015,0.22,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
245,2015,0.22,9999,Non-Crime (not reported to state),Closed/Cleared,Library
246,2015,0.22,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
247,2015,0.22,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
248,2015,0.22,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
249,2015,0.22,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
250,2015,0.22,9999,Non-Crime (not reported to state),Inactive,Student Center
251,2015,0.22,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
252,2015,0.04,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
253,2015,0.04,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
254,2015,0.04,9999,Non-Crime (not reported to state),Inactive,BP Station
255,2015,0.04,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
256,2015,0.04,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
257,2015,0.04,5499,Traffic Offense (describe offense),Closed/Cleared,
258,2015,0.04,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
259,2015,0.04,9999,Non-Crime (not reported to state),Closed/Cleared,Library
260,2015,0.04,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
261,2015,0.04,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
262,2015,0.04,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
263,2015,0.04,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
264,2015,0.04,9999,Non-Crime (not reported to state),Inactive,Student Center
265,2015,0.04,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
266,2015,0.09,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
267,2015,0.09,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
268,2015,0.09,9999,Non-Crime (not reported to state),Inactive,BP Station
269,2015,0.09,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
270,2015,0.09,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
271,2015,0.09,5499,Traffic Offense (describe offense),Closed/Cleared,
272,2015,0.09,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
273,2015,0.09,9999,Non-Crime (not reported to state),Closed/Cleared,Library
274,2015,0.09,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
275,2015,0.09,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
276,2015,0.09,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
277,2015,0.09,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
278,2015,0.09,9999,Non-Crime (not reported to state),Inactive,Student Center
279,2015,0.09,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
280,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
281,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
282,2015,0.01,9999,Non-Crime (not reported to state),Inactive,BP Station
283,2015,0.01,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
284,2015,0.01,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
285,2015,0.01,5499,Traffic Offense (describe offense),Closed/Cleared,
286,2015,0.01,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
287,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Library
288,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
289,2015,0.01,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
290,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
291,2015,0.01,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
292,2015,0.01,9999,Non-Crime (not reported to state),Inactive,Student Center
293,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
294,2015,0.0,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
295,2015,0.0,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
296,2015,0.0,9999,Non-Crime (not reported to state),Inactive,BP Station
297,2015,0.0,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
298,2015,0.0,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
299,2015,0.0,5499,Traffic Offense (describe offense),Closed/Cleared,
300,2015,0.0,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
301,2015,0.0,9999,Non-Crime (not reported to state),Closed/Cleared,Library
302,2015,0.0,9999,Non-Crime (not reported to state),Closed/Cleared,Woodruff Residence Hall   116   Z4
303,2015,0.0,4104,Liquor – Possession Of,Closed/Cleared,Howell Residence Hall
304,2015,0.0,9999,Non-Crime (not reported to state),Closed/Cleared,College of Computing
305,2015,0.0,5707,Criminal Trespass,Closed/Cleared,Barnes and Noble Bookstore
306,2015,0.0,9999,Non-Crime (not reported to state),Inactive,Student Center
307,2015,0.0,9999,Non-Crime (not reported to state),Closed/Cleared,Student Center
308,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Clough Undergraduate Learning Center
309,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
310,2015,0.01,9999,Non-Crime (not reported to state),Inactive,BP Station
311,2015,0.01,2434,Theft of Other Vehicle,Further Investigation,Parking and transportation Department
312,2015,0.01,2317,Larceny – Bicycle,Inactive,Student Center Bike Rack
313,2015,0.01,5499,Traffic Offense (describe offense),Closed/Cleared,
314,2015,0.01,2308,Larceny – From Building,Closed/Cleared,Technology Square Research Building
315,2015,0.01,9999,Non-Crime (not reported to state),Closed/Cleared,Library
